ID,Age,Income,Postcode,Gender,Outgoings,Approved
456729038,90,117446,N1 4ER,b,6627,False
456729087,39,nil,FY8 2EE,a,8509,False
456729087,39,117199,FY8 2EE,a,8509,False
456729205,57,144505,DY5 3AJ,b,3830,True
456729306,58,105058,HP5 2RB,a,16336,False
456729402,54,89344,SN6 7HN,b,15026,False
456729538,90,50569,AL2 1EH,a,22189,False
456729593,45,15870,CR3 7BJ,a,21078,False
456729716,68,143323,CR2 9JF,b,2023,True
456729818,70,71029,S5 7QB,a,11810,False
456729932,84,nil,SM7 2DX,a,17518,True
456729932,84,147022,SM7 2DX,a,17518,True
456730012,64,114718,W3 7FJ,b,4650,True
456730086,38,143966,BB11 2HG,a,17835,True
456730232,84,101136,PL14 6RD,b,6480,True
456730269,21,69078,HA5 4NB,b,20225,True
456730395,47,32803,NW10 9BD,b,11182,True
456730525,77,84758,NG31 8UB,a,13663,False
456730574,26,23067,DL3 7HH,b,11608,False
null,null,null,null,null,999999999999999999999999,True
456730669,21,119565,B73 9SH,b,15164,True
456730801,53,nil,BN8 5LN,b,5960,True
456730801,53,92052,BN8 5LN,b,5960,True
456730896,48,118902,GL17 0BX,a,21354,True
456731018,70,28726,BT16 2HE,a,808,True
456731142,94,73323,G81 6QT,b,10645,False
456731224,76,13742,EH35 5LU,b,4506,False
456731298,50,48220,NG20 8FW,b,5821,False
456731420,72,133103,IG8 0RL,b,6971,False
456731498,50,30552,TR16 5BX,a,15272,True
456731568,20,125552,NG1 6EL,b,10979,True
456731727,79,84801,NP11 5GH,a,8626,False
456731788,40,140862,CR2 8JR,a,6174,True
456731866,18,129791,CV35 0XL,a,6424,True
456731980,32,83930,CF72 9RL,a,16714,False
456732097,49,80525,EH5 1WB,b,6831,False
456732244,96,51862,CV37 8FE,b,2688,False
456732289,41,63012,BL2 3NH,a,3014,True
456732420,72,30744,SS14 3LR,a,20087,True
456732510,62,121483,PL1 5QL,a,4628,True
456732642,94,70962,DY12 1PE,b,5683,True
456732709,61,147732,S42 6SP,a,19021,True
456732773,25,137034,CM14 4ER,a,1472,True
456732929,81,39500,TQ3 3AS,a,19626,False
456733029,81,41007,IV45 8RS,a,15894,False
456733104,56,102237,WA5 4AD,b,11824,True
456733218,70,50535,FK11 7BG,a,999999999999999999999999,True
456733218,70,50535,FK11 7BG,a,12082,True
456733279,31,117720,HD9 6PU,a,5083,True
456733372,24,23307,GU9 7JN,a,24557,False
456733524,76,85471,S81 8PU,b,6987,False
456733626,78,74612,YO12 6SE,b,22432,True
456733667,19,126764,DY4 8YP,a,15707,True
456733777,29,91755,ME8 7DU,a,1423,False
456733896,48,63218,WA7 5TS,b,8160,False
456733981,33,32742,SK7 3HP,a,14367,True
456734115,67,69986,BB11 2HJ,a,18467,False
456734242,94,83734,BN1 3AB,a,999999999999999999999999,False
456734242,94,83734,BN1 3AB,a,9131,False
456734332,84,40609,BS5 0AR,b,19462,True
456734390,42,114557,ML1 9WS,b,24881,True
456734517,69,99668,DH1 5EJ,b,23560,True
456734582,34,122812,SO24 9PY,a,17297,True
456734695,47,28989,LL57 1UT,b,16006,True
456734797,49,40964,GU14 9NX,b,22404,True
456734874,26,136182,LE12 7PD,a,18784,False
456734973,25,20764,BT1 9QX,a,20020,False
456735142,94,103707,KW1 5TN,a,11525,True
456735182,34,55688,EX39 5NJ,a,2796,False
456735270,22,59404,NR28 0BY,a,10741,False
456735423,75,16958,OL8 2QB,a,24515,False
456735500,52,112795,DY10 3BP,a,12753,True
456735601,53,118013,HX6 1LD,a,22830,True
456735666,18,nil,SO31 6LY,b,13328,False
456735666,18,8065,SO31 6LY,b,13328,False
456735844,96,126992,CR3 5AP,b,20935,True
456735943,95,129271,TF6 6AU,a,2744,False
456735977,29,70531,PR3 2GW,b,11319,True
456736130,82,81843,EX20 1BE,b,8038,True
456736243,95,28263,CV3 5PG,b,10378,False
456736282,34,nil,SE10 0JR,a,12539,True
456736282,34,132196,SE10 0JR,a,12539,True
456736425,77,147562,CM1 2TG,b,21261,True
456736528,80,110646,EN7 5BD,b,10621,True
456736566,18,111171,KT8 0DH,a,3011,False
456736736,88,55884,L12 9EG,b,17808,True
456736839,91,101576,BN5 9YE,a,1609,True
456736886,38,142593,CV22 7HE,a,23062,True
456737014,66,62268,SE1P 6JJ,a,10255,True
null,null,null,null,null,999999999999999999999999,True
456737089,41,141300,ME15 9GT,b,5549,True
456737226,78,121197,B43 7SJ,b,17076,True
456737269,21,119477,TS7 0LE,a,12979,True
456737367,19,50555,W1B 3DA,a,4766,True
456737467,19,38639,BT34 4EP,b,6988,True
456737568,20,53347,M24 4BA,b,5875,True
456737735,87,88504,HU12 8SN,a,3899,True
456737784,36,98004,CW1 4FZ,b,15627,True
456737944,96,69854,ME10 3RD,b,8128,True
456738022,74,137110,TD8 6JR,b,9158,True
456738144,96,67846,GU20 6EZ,a,12840,False
456738239,91,134818,EH15 1JE,a,3060,True
456738315,67,nil,WN5 7DW,a,6419,False
456738315,67,17296,WN5 7DW,a,6419,False
456738390,42,31246,KT21 2JE,a,9316,True
456738505,57,31538,WD23 1NH,b,9326,True
456738571,23,59656,SM2 5FW,b,22910,False
456738737,89,52218,ST14 5JW,b,9377,True
456738776,28,4676,NR20 4TT,a,6675,False
456738898,50,107519,RG12 9HY,b,22254,True
456738994,46,127511,HA3 7LL,b,20075,True
456739124,76,110515,SA12 6QL,a,6837,True
456739200,52,43475,NE31 1HS,a,14444,False
456739336,88,35938,KT16 9FN,b,21220,False
456739372,24,117775,L17 7BX,b,1104,True
456739483,35,76767,SO50 9BP,b,22332,True
456739631,83,13809,NR9 4DQ,b,1440,True
456739717,69,nil,LU7 2PQ,b,10823,True
456739717,69,125651,LU7 2PQ,b,10823,True
456739837,89,146956,E6 6LJ,b,999999999999999999999999,False
456739837,89,146956,E6 6LJ,b,4986,False
456739928,80,25752,WD5 0JT,a,8895,False
456739971,23,14874,BT22 2GB,b,17617,False
456740080,32,149598,ST16 1HQ,b,12134,True
456740166,18,144781,W3 6SY,a,13301,False
456740296,48,8663,WA4 1GH,b,23258,False
456740413,65,81567,BH21 1LZ,a,23919,True
456740504,56,145019,BT8 6WH,b,20152,True
456740629,81,19558,TF1 1PF,a,14122,True
456740735,87,83233,CO10 9RH,b,13520,True
456740821,73,54715,EX38 7ES,b,23745,True
456740877,29,28923,PE25 2BE,b,4554,True
456741027,79,133034,HA8 8DJ,b,1239,True
456741108,60,18702,BB11 5AE,a,752,True
456741225,77,44654,NG4 2HL,b,11680,False
456741333,85,123679,BN14 8BW,a,4754,False
456741442,94,99295,TN20 6AE,a,24115,False
456741535,87,49581,WS3 4LX,a,21066,False
456741582,34,120534,NG16 4BN,b,14325,True
456741736,88,59060,IP21 5AU,a,11849,False
456741782,34,73384,MK9 3XJ,b,20330,True
456741928,80,34897,WD19 4DG,b,9053,True
456741998,50,88113,BL3 3NP,b,8844,True
456742129,81,10419,WF3 1BG,a,10387,False
456742173,25,128219,CA8 2NL,a,20096,True
456742334,86,60538,CR8 2NN,b,21872,False
456742424,76,25585,TS23 2QE,b,12648,False
456742489,41,61006,B69 1PA,b,6930,True
456742598,50,70927,GL12 8QN,b,3033,True
456742688,40,108939,CF72 9WS,a,16388,False
456742798,50,103329,OL8 3BD,a,999999999999999999999999,True
456742798,50,103329,OL8 3BD,a,22170,True
456742938,90,36778,PE21 9HS,a,16013,True
456743013,65,34318,GL51 0QL,a,19651,True
456743075,27,146241,ST6 3EN,a,13721,True
456743194,46,103545,B64 7LP,b,19737,True
456743326,78,113349,TN15 8JY,a,5578,True
456743425,77,75413,B44 8NS,b,15312,False
456743522,74,8906,PL20 6PR,b,17791,False
456743636,88,58369,CW7 4AU,a,12514,True
456743669,21,48134,RG6 7NE,a,10154,False
456743834,86,136209,PE12 7DL,a,22333,False
456743888,40,36359,PR4 0FU,a,24043,True
456743990,42,56014,M41 8TN,b,16669,False
456744098,50,96677,CM11 2LS,a,24432,True
456744195,47,138663,BR3 4FA,a,5242,True
456744310,62,120237,CM18 6RG,b,19832,True
456744426,78,39388,M9 4FF,a,9424,True
456744524,76,112994,NN7 9BN,b,4480,True
456744617,69,95568,SG5 3QG,a,14412,True
456744702,54,112652,GL55 6UP,a,22005,True
456744806,58,88774,DL14 8FN,a,16086,False
456744912,64,147251,DL8 2AU,b,2312,True
456745007,59,147581,L4 9XY,b,6237,True
456745127,79,85459,TN13 2PW,b,3262,False
456745233,85,147831,NN17 1RG,a,15739,True
456745266,18,70876,KA8 0PL,b,10262,True
456745433,85,118595,M4 3AL,a,20783,False
456745508,60,117884,SW17 6EB,a,19482,False
456745611,63,91446,NR21 8HG,a,23614,True
456745716,68,74352,DT6 5EL,b,8313,True
null,null,null,null,null,999999999999999999999999,True
456745768,20,72955,NE43 7ST,b,22091,True
456745884,36,99837,B23 5UE,b,1974,False
456745993,45,77590,HA9 6DR,b,11460,False
456746115,67,71596,CB8 8HW,a,999999999999999999999999,True
456746115,67,71596,CB8 8HW,a,14829,True
456746213,65,57851,OX5 2JE,b,23779,False
456746313,65,58760,WR2 6JX,a,10434,False
456746402,54,76777,EH15 3DU,a,20677,False
456746484,36,55771,WF4 4DT,b,5034,False
456746609,61,10056,NE17 7HS,a,4097,False
456746731,83,63025,KT21 2FH,a,15529,False
456746779,31,136695,EN4 0BA,b,999999999999999999999999,True
456746779,31,136695,EN4 0BA,b,22126,True
456746893,45,122897,PO22 8FG,a,3302,True
456747005,57,32600,BS30 8UJ,b,3468,True
456747127,79,31602,SA65 9DW,a,21428,True
456747244,96,120071,TQ9 7RF,a,17310,True
456747332,84,50154,BT80 8WP,b,17921,False
456747423,75,87538,OL14 6QT,b,10126,True
456747498,50,97509,ST7 3BP,a,2096,True
456747634,86,nil,CT9 4AT,b,14408,True
456747634,86,93121,CT9 4AT,b,14408,True
456747741,93,146513,TN5 7BX,a,16207,False
456747769,21,30525,RH2 2SS,b,20304,True
456747897,49,43684,LL65 1DJ,a,2876,False
456748010,62,75499,M14 4DQ,a,15670,False
456748131,83,96570,W8 5PG,b,23050,False
456748195,47,66182,E11 2AP,a,21327,True
456748276,28,85729,HP27 9HR,b,9756,True
456748393,45,44431,CV8 2WA,b,7422,True
456748522,74,143721,FK7 7TA,b,1688,True
456748591,43,22237,NR33 7JH,a,15494,True
456748682,34,96706,G46 7RQ,b,3791,False
456748810,62,35387,IV1 1LP,b,4708,True
456748867,19,101117,FK7 7HQ,a,20925,True
456749006,58,112563,EX15 2NN,b,14535,True
456749135,87,4550,SA5 4NG,a,24554,False
456749236,88,9040,GL56 0UY,a,8309,False
456749316,68,nil,EN4 0JY,b,16743,False
456749316,68,53545,EN4 0JY,b,16743,False
456749436,88,18310,BT51 5AY,a,18177,False
456749520,72,40924,E13 9DE,a,999999999999999999999999,False
456749520,72,40924,E13 9DE,a,10075,False
456749589,41,127674,KT4 7QE,a,9894,True
456749672,24,118459,TN3 0XN,a,6214,False
456749785,37,40702,GL1 9TD,b,7662,True
456749924,76,117876,DN3 1QA,a,16975,False
456750031,83,117227,SR3 2SB,a,16765,True
456750133,85,59482,BS21 7AZ,b,8592,False
456750171,23,97064,YO62 5DG,b,15909,False
456750308,60,52215,PR3 2RJ,a,19649,True
456750410,62,52690,NE46 1QL,a,18401,True
456750482,34,70108,HG2 9NW,b,24793,True
456750637,89,11305,NR18 9JH,a,21130,False
456750702,54,115310,SN15 2EU,b,18163,True
456750834,86,57591,L5 2SU,b,16948,True
456750931,83,102614,EX5 5QD,a,4052,False
456750966,18,87349,SG12 7NQ,a,24975,False
456751084,36,139531,HA8 5AS,b,3845,True
456751189,41,27437,GL3 1EY,b,22851,True
456751338,90,39683,CF31 2LN,a,16451,False
456751373,25,85578,UB10 0PF,a,11178,False
456751491,43,56061,TR15 1EP,b,13465,True
456751601,53,53447,DE4 3TJ,a,16944,True
456751737,89,105903,DE24 0UF,a,11503,True
456751789,41,79745,CH7 5LH,a,24521,True
456751907,59,84258,SE16 4EL,a,18731,True
456752043,95,136242,PO6 4TB,a,12750,False
456752135,87,118693,WF9 1BL,a,5003,True
456752190,42,67344,SE18 7JD,a,14038,True
456752340,92,23512,SW19 7QQ,b,15126,True
456752366,18,123348,CV22 5QF,b,15040,True
456752542,94,80817,RG12 0TL,a,6165,False
456752640,92,124051,TW9 2TH,b,999999999999999999999999,False
456752640,92,124051,TW9 2TH,b,21638,False
456752722,74,48792,SA6 7AD,a,16070,False
456752802,54,41120,TN23 6LZ,a,12574,True
456752912,64,72635,CW7 3GR,b,21440,True
456753003,55,67488,TQ12 4SF,b,21710,True
456753125,77,18413,SL5 8FT,b,10123,True
456753198,50,29286,IP17 3BB,a,3646,True
456753324,76,146971,TN26 2QQ,b,2924,True
456753380,32,nil,BT5 7EZ,b,17836,True
456753380,32,72025,BT5 7EZ,b,17836,True
null,null,null,null,null,999999999999999999999999,False
456753533,85,38611,NE3 5DN,a,17968,False
456753587,39,41976,BT24 8TL,a,2894,False
456753677,29,52793,GU14 7JW,a,2968,True
456753834,86,149960,LS18 4HL,a,9546,True
456753888,40,37481,CO12 5AN,b,22753,True
456753967,19,16889,TW16 6AR,b,19113,False
456754133,85,13482,KT1 2HS,a,5678,False
456754216,68,5125,TQ12 4HT,b,5634,False
456754292,44,9414,KY11 3PA,b,1393,False
456754417,69,78952,SO40 9AL,a,8363,False
456754525,77,129032,LL19 9LH,a,8995,True
456754583,35,109321,ST8 7AG,b,21555,True
456754717,69,124000,LS24 8ER,b,12640,True
456754827,79,142705,OX2 7BA,b,6355,True
456754871,23,5502,SS7 3JT,a,11184,False
456754966,18,16944,SY12 9BL,a,3990,False
null,null,null,null,null,999999999999999999999999,False
456755090,42,41714,AB34 5LU,b,6933,False
456755203,55,45428,SY13 1HZ,a,6965,True
456755280,32,76766,CT1 1HS,b,11188,True
456755419,71,127638,TD7 5NF,b,16995,True
456755509,61,29307,LS13 3PS,a,16499,False
456755581,33,24672,NR33 8FZ,b,12374,True
456755683,35,17831,EH7 6XG,a,16716,False
456755831,83,144782,HU18 1BL,b,15659,False
456755937,89,68841,HD8 8HF,a,24968,True
456756024,76,37142,GL54 5NT,a,12021,True
456756120,72,34560,PL28 8JP,a,17082,True
456756210,62,nil,SW19 2BL,b,19383,False
456756210,62,73861,SW19 2BL,b,19383,False
456756335,87,31803,DA2 7RN,a,9500,False
456756420,72,97806,HU6 8SR,a,12626,True
456756512,64,nil,CO4 9TR,a,21053,True
456756512,64,111612,CO4 9TR,a,21053,True
456756583,35,nil,EX39 3GD,b,18565,False
456756583,35,9755,EX39 3GD,b,18565,False
456756742,94,102136,BH21 2UF,b,14247,True
456756795,47,136267,TW2 6PD,a,9865,False
456756873,25,nil,NN18 8HR,b,24080,True
456756873,25,135499,NN18 8HR,b,24080,True
456757018,70,nil,KY15 5DY,a,15441,True
456757018,70,136059,KY15 5DY,a,15441,True
456757114,66,132405,WA5 1EH,a,9127,True
456757204,56,35810,B24 0HF,a,5111,False
456757322,74,137629,LA12 7AJ,a,21202,True
456757382,34,101663,WA8 7XT,b,8424,True
456757485,37,23483,YO7 3AA,a,16129,False
456757640,92,101482,NR31 7NU,a,19993,False
456757696,48,101618,BD20 0HF,b,12402,False
456757803,55,nil,NG18 5HT,a,23726,False
456757803,55,124346,NG18 5HT,a,23726,False
456757938,90,87335,BR2 7JT,b,9554,False
456758016,68,53478,TW15 1UW,b,6498,False
456758135,87,117865,TA6 6TL,a,23803,True
456758217,69,61221,HP13 5AB,a,8787,True
456758343,95,33924,TR2 4HT,a,1625,True
456758400,52,86878,BH5 1HS,a,12331,False
456758471,23,107572,EH47 7LS,a,5255,True
456758595,47,93618,G20 9DA,b,2389,False
456758738,90,138152,MK44 2BN,b,14986,True
456758838,90,123321,ML2 9DT,b,728,True
456758868,20,51712,TN10 4EX,b,18693,False
456759014,66,nil,M61 0UJ,a,4178,False
456759014,66,136844,M61 0UJ,a,4178,False
456759069,21,95965,NW10 5UX,b,999999999999999999999999,False
456759069,21,95965,NW10 5UX,b,1140,False
456759200,52,129186,EH39 4JS,b,12225,True
456759284,36,35898,ST9 9BQ,b,7946,True
456759443,95,11170,W10 5UJ,a,2744,False
456759515,67,88167,LA3 3HA,a,1184,True
456759586,38,40754,NW9 8JL,a,24664,False
456759675,27,118468,BT82 9GF,b,14215,True
456759800,52,131720,RH8 0UD,a,3859,True
456759870,22,119163,CV6 1GB,b,9772,False
456759970,22,31998,ME3 9RN,a,19889,True
456760130,82,77443,BT56 8QQ,b,19851,True
456760183,35,97145,G51 1SH,b,24192,False
456760313,65,40520,BB9 4GN,b,10966,True
456760393,45,119306,CF23 8HG,a,12311,False
456760502,54,111019,LL17 0AQ,a,24685,True
456760620,72,50488,LA1 1YZ,b,13458,False
null,null,null,null,null,999999999999999999999999,False
456760694,46,20237,NG24 9TJ,b,3012,False
456760821,73,30984,TN22 5LU,b,18477,True
456760866,18,71251,SY16 3LR,a,20342,True
456760977,29,131710,OX4 1DE,a,24830,True
456761082,34,80478,NP22 3SH,b,11037,True
456761175,27,48871,S71 2JU,b,14057,True
456761323,75,84145,N6 6AR,b,20407,False
456761392,44,101830,G60 5AP,b,19634,True
456761505,57,131633,RM10 8PA,a,15730,True
456761576,28,135834,NW5 2NH,a,1875,True
456761736,88,55087,CV32 4QR,b,6327,False
456761843,95,24368,ST17 4HF,b,4482,True
456761915,67,nil,CO15 4RB,b,16966,True
456761915,67,127731,CO15 4RB,b,16966,True
456761993,45,145413,OL6 6RW,a,2825,True
456762132,84,138068,SO24 0QE,b,15877,True
456762171,23,48735,SE8 5PE,a,17522,False
456762280,32,135608,KY3 0LH,b,20749,True
456762368,20,81938,W1F 8EX,a,6309,False
456762522,74,84475,NP13 1JE,a,18480,False
456762582,34,nil,BN2 5GU,a,6800,True
456762582,34,106478,BN2 5GU,a,6800,True
456762693,45,118561,SE7 8QX,a,6747,True
456762799,51,116074,SG17 5UF,b,21479,False
456762921,73,103636,TN28 8AB,b,13051,True
456763003,55,40467,TA6 7RD,a,18270,True
456763100,52,120317,WR11 8RW,b,2660,True
456763225,77,67799,BS5 6XE,b,5666,False
456763273,25,124467,TN24 9NA,a,23117,True
456763413,65,122145,KT8 2PG,b,24799,True
456763544,96,46536,RG41 5QT,b,11700,False
456763574,26,66296,SY14 8PB,b,6491,True
456763678,30,119192,CR0 1DS,a,12111,True
456763766,18,59335,NG1 2AD,a,11923,True
456763907,59,nil,ME14 5BB,b,18359,False
456763907,59,9780,ME14 5BB,b,18359,False
456764041,93,133019,DT6 4JE,b,13147,True
456764106,58,97620,CF15 8AU,b,12624,True
456764236,88,nil,SO31 5DE,a,3442,True
456764236,88,119968,SO31 5DE,a,3442,True
456764299,51,112116,BB18 5XE,b,5386,True
456764406,58,57510,SW2 3NQ,b,5193,True
456764486,38,118210,LA4 6FA,b,23449,True
456764619,71,43569,CV1 4JU,b,10158,False
456764716,68,89714,CH47 1HN,a,9874,False
456764806,58,84048,NR31 7DW,b,1281,False
456764939,91,100813,BS22 9LD,b,7097,True
456765002,54,71063,PR8 3PR,a,20713,True
456765131,83,107954,SO16 6AL,b,9879,True
456765227,79,104758,BN22 9DX,b,21765,True
456765317,69,99957,M11 3BY,b,2232,False
456765389,41,36876,PE27 3BA,b,20401,False
456765515,67,12632,S62 7QE,a,20413,False
456765594,46,74261,TN23 3LF,b,5788,False
456765717,69,134025,WC1H 9LU,a,7199,False
456765810,62,65797,WN5 9RF,a,999999999999999999999999,False
456765810,62,65797,WN5 9RF,a,10498,False
456765944,96,70864,TS12 2RZ,a,17040,False
456765968,20,119826,SM4 6DT,a,6074,False
456766115,67,64968,M30 9BF,b,6411,False
456766238,90,73374,NR1 1QJ,a,8933,False
456766287,39,127267,CH34 9EP,b,11454,True
456766400,52,49090,SA72 6NU,a,5148,False
456766474,26,48533,TA4 4QL,a,2034,True
456766571,23,28429,PR25 3AA,b,11636,False
456766670,22,133938,IP14 1NG,a,5063,True
456766776,28,56957,S40 2JS,a,6977,True
456766878,30,12482,HU3 3DP,b,8923,True
456767034,86,116070,RM14 1NJ,b,19929,True
456767122,74,118027,BA12 9QW,a,24066,True
456767231,83,99061,M9 8JP,a,11077,False
456767336,88,135533,KY8 2DR,b,5083,False
456767398,50,109934,CV2 4LW,b,11366,True
456767484,36,23564,CR4 1XD,a,22702,False
456767567,19,57175,TR11 4GB,a,8236,False
456767718,70,61441,DA16 1JZ,a,16539,True
456767823,75,56565,FK3 9JL,b,3781,False
456767882,34,13445,SG19 2HE,b,23436,False
456768042,94,73543,CV2 2FL,b,23016,False
456768126,78,121770,WD7 7AP,a,4215,False
456768222,74,58791,YO7 2BJ,a,5732,True
456768315,67,139261,LL23 7AJ,b,24013,True
456768392,44,134408,TN34 2SE,b,16727,True
456768475,27,34858,SW17 9TN,b,7500,True
456768592,44,5836,CB4 0GF,a,9804,False
456768689,41,nil,LA3 2TQ,b,16018,True
456768689,41,68969,LA3 2TQ,b,16018,True
456768778,30,125714,L15 8AJ,a,8628,True
456768917,69,146347,S44 5JP,a,12753,True
456769013,65,119623,SW1A 1JD,b,16444,True
456769128,80,127541,SA65 9QG,a,20940,True
456769182,34,19718,NE15 9DD,a,4337,True
456769319,71,111796,WC1B 4JA,b,16344,False
456769402,54,10917,WA8 3AL,a,22288,False
456769518,70,8309,KY13 8GQ,b,12898,False
456769617,69,116655,TS19 7SW,a,11180,True
456769672,24,97949,BT19 7RG,b,14522,False
456769789,41,35334,DE23 1FP,a,22015,True
456769875,27,50842,NP11 6BH,a,24830,False
456769987,39,44841,DH6 3EB,a,13607,False
456770144,96,52112,NG20 8LN,a,6991,True
456770235,87,17438,CR4 2EF,a,22853,False
456770278,30,93358,SM5 4HL,b,22599,False
456770382,34,90119,E12 6HT,a,6654,False
456770498,50,56700,W1C 1BF,b,13754,False
null,null,null,null,null,999999999999999999999999,False
456770594,46,90988,DN4 0NY,a,13819,False
456770682,34,43768,SA13 2LG,b,12132,False
456770812,64,139536,EN6 2EL,a,16907,True
456770932,84,90683,WC2B 5EZ,b,22853,False
456771001,53,33227,M24 2AH,a,5833,False
456771101,53,128578,SN12 6TB,a,16145,True
456771191,43,141691,TA3 5HX,a,699,True
456771275,27,85888,CM14 5JR,a,5065,False
456771371,23,86904,NP44 1AL,b,7035,True
456771510,62,17834,LN1 3RJ,b,16227,True
456771618,70,62221,M18 8XL,a,8810,False
456771704,56,133076,SA72 6NE,a,1198,True
456771812,64,87803,S4 7EL,a,11636,False
456771897,49,117352,TF11 9AP,b,19289,True
456772036,88,25049,SA17 5TF,b,14485,True
456772117,69,59146,ST8 6RF,a,18594,False
456772185,37,nil,ML11 8BB,b,7807,True
456772185,37,146585,ML11 8BB,b,7807,True
456772313,65,20993,NR30 5AX,a,10521,True
456772428,80,136375,NE40 4LR,b,24708,True
456772466,18,124715,PL27 6LF,a,10161,True
456772568,20,103585,NW10 8PG,b,3837,True
456772742,94,56209,KT12 2FR,a,10550,False
456772792,44,39921,BT30 9GY,a,18347,False
456772944,96,64282,SY8 4NX,b,8912,True
456772967,19,98235,BN20 9QX,a,17372,False
456773084,36,149152,ME5 8HT,b,18694,True
456773208,60,29065,LA8 0PB,b,16645,True
456773333,85,99338,M9 7DQ,a,21482,False
456773404,56,84339,EH11 4FS,b,2626,False
456773474,26,34384,WF13 9FY,a,9324,True
456773642,94,33543,YO18 7NH,a,19983,True
456773739,91,78397,KW15 1YT,a,1529,True
456773798,50,113030,L33 7YB,a,5730,False
456773872,24,nil,IP12 1BX,b,17325,True
456773872,24,120106,IP12 1BX,b,17325,True
456774031,83,103655,RH11 6DD,a,12754,True
456774066,18,102996,CT6 6SH,b,14017,True
456774221,73,74076,CA3 9AZ,b,13547,False
456774296,48,86404,PR6 9BF,a,24125,True
456774437,89,28583,WF1 2QZ,b,16467,True
456774500,52,93987,BL7 9SD,b,23002,False
456774632,84,51622,OL10 2DZ,a,20524,False
456774715,67,35601,PO6 2LW,a,18411,False
456774789,41,10273,M29 7LQ,a,3195,False
456774914,66,108492,SL6 1UQ,a,8519,True
456774990,42,44492,E14 3WF,b,18774,True
456775143,95,56851,SW6 5LS,a,10498,False
456775213,65,20784,BB2 1JG,a,13837,True
456775322,74,105796,B43 7HW,b,2435,True
456775415,67,64151,LE1 9SS,b,17785,False
456775519,71,96403,DA11 9NS,a,9616,True
456775628,80,117850,CV22 7JY,a,13119,True
456775691,43,72057,EX2 6AH,b,14476,True
456775818,70,nil,BN27 4NU,b,19164,True
456775818,70,55266,BN27 4NU,b,19164,True
456775867,19,120202,DN1 3RU,a,1161,True
456775969,21,128454,RG42 7PG,a,6754,True
456776124,76,82178,TN26 3BH,b,10044,False
456776234,86,nil,LL54 5UE,b,5062,True
456776234,86,125659,LL54 5UE,b,5062,True
456776311,63,134335,YO12 5DR,b,7851,True
456776401,53,119247,TQ9 7DR,b,10985,True
456776496,48,138953,TN27 9FY,a,23969,True
